humidity,acceleration_z,data_format,acceleration_x,acceleration,battery,acceleration_y,temperature,pressure,time,device_mac
29.0,1039,3,10,1039.1871823689899,3145,-17,22.86,1012.31,2019-09-26T15:50:07.359277,E4:49:12:58:E8:AF
29.5,1031,3,10,1031.205605105015,3139,-18,22.85,1012.3,2019-09-26T15:55:06.811562,E4:49:12:58:E8:AF
29.0,1039,3,12,1039.1924749535092,3145,-16,22.84,1012.27,2019-09-26T16:00:06.246921,E4:49:12:58:E8:AF
29.0,1037,3,10,1037.2044157252706,3139,-18,22.83,1012.3,2019-09-26T16:05:06.803473,E4:49:12:58:E8:AF
29.0,1040,3,9,1040.1778694050358,3139,-17,22.81,1012.32,2019-09-26T16:10:08.182027,E4:49:12:58:E8:AF
29.5,1036,3,8,1036.1003812372621,3151,-12,22.8,1012.38,2019-09-26T16:15:06.583274,E4:49:12:58:E8:AF
29.0,1032,3,11,1032.2335007158022,3139,-19,22.79,1012.39,2019-09-26T16:20:07.050409,E4:49:12:58:E8:AF
29.5,1037,3,10,1037.1427095631536,3139,-14,22.78,1012.37,2019-09-26T16:25:06.564593,E4:49:12:58:E8:AF
29.5,1042,3,16,1042.296023210297,3139,-19,22.77,1012.39,2019-09-26T16:30:07.029143,E4:49:12:58:E8:AF
29.0,1038,3,11,1038.250933060019,3151,-20,22.75,1012.37,2019-09-26T16:35:06.413314,E4:49:12:58:E8:AF
29.5,1037,3,10,1037.1716347837516,3145,-16,22.74,1012.39,2019-09-26T16:40:06.909760,E4:49:12:58:E8:AF
29.5,1040,3,9,1040.1778694050358,3139,-17,22.73,1012.42,2019-09-26T16:45:07.306678,E4:49:12:58:E8:AF
29.5,1037,3,11,1037.2916658298186,3145,-22,22.72,1012.42,2019-09-26T16:50:06.793688,E4:49:12:58:E8:AF
29.5,1037,3,12,1037.225626370656,3151,-18,22.71,1012.48,2019-09-26T16:55:07.204697,E4:49:12:58:E8:AF
29.5,1039,3,10,1039.1563886153037,3151,-15,22.7,1012.55,2019-09-26T17:00:06.592715,E4:49:12:58:E8:AF
29.5,1042,3,9,1042.1775280632373,3145,-17,22.69,1012.53,2019-09-26T17:05:06.959036,E4:49:12:58:E8:AF
29.5,1036,3,10,1036.1877243048193,3145,-17,22.67,1012.5,2019-09-26T17:10:07.430009,E4:49:12:58:E8:AF
29.5,1037,3,11,1037.181758420384,3145,-16,22.67,1012.5,2019-09-26T17:15:06.879277,E4:49:12:58:E8:AF
