acceleration_y,data_format,pressure,acceleration_z,battery,temperature,acceleration,acceleration_x,humidity,time,device_mac
22,3,986.42,1028,3073,21.67,1029.759195151954,-56,37.5,2019-10-12T03:10:06.160322,E4:49:12:58:E8:AF
25,3,986.49,1031,3061,21.67,1032.6131899215698,-52,37.5,2019-10-12T03:15:06.726689,E4:49:12:58:E8:AF
21,3,986.55,1031,3067,21.66,1032.6795243443146,-55,37.5,2019-10-12T03:20:07.136060,E4:49:12:58:E8:AF
20,3,986.58,1030,3073,21.66,1031.5565907888913,-53,37.5,2019-10-12T03:25:07.613424,E4:49:12:58:E8:AF
22,3,986.55,1031,3073,21.66,1032.7540849592415,-56,37.0,2019-10-12T03:30:09.127146,E4:49:12:58:E8:AF
20,3,986.53,1029,3067,21.65,1030.5581012247685,-53,37.0,2019-10-12T03:35:06.508149,E4:49:12:58:E8:AF
18,3,986.6,1028,3067,21.65,1029.6276025826037,-55,37.0,2019-10-12T03:40:07.883622,E4:49:12:58:E8:AF
19,3,986.63,1031,3073,21.65,1032.8615589709977,-59,37.0,2019-10-12T03:45:06.231878,E4:49:12:58:E8:AF
22,3,986.61,1032,3061,21.65,1033.6459742097388,-54,37.0,2019-10-12T03:50:06.737455,E4:49:12:58:E8:AF
23,3,986.58,1028,3073,21.64,1029.674220324079,-54,37.0,2019-10-12T03:55:06.015227,E4:49:12:58:E8:AF
21,3,986.63,1029,3067,21.64,1030.6299044758987,-54,37.0,2019-10-12T04:00:06.512209,E4:49:12:58:E8:AF
23,3,986.68,1030,3079,21.64,1031.670974681366,-54,37.0,2019-10-12T04:05:06.963939,E4:49:12:58:E8:AF
21,3,986.76,1028,3085,21.64,1029.7931831197952,-57,37.0,2019-10-12T04:10:07.373524,E4:49:12:58:E8:AF
24,3,986.77,1034,3067,21.64,1035.6355536577528,-53,37.0,2019-10-12T04:15:06.838805,E4:49:12:58:E8:AF
23,3,986.77,1030,3073,21.63,1031.7775923133822,-56,37.0,2019-10-12T04:20:06.373810,E4:49:12:58:E8:AF
21,3,986.81,1029,3061,21.63,1030.6299044758987,-54,37.5,2019-10-12T04:25:08.742861,E4:49:12:58:E8:AF
18,3,986.89,1032,3067,21.63,1033.7852775117278,-58,37.5,2019-10-12T04:30:07.096021,E4:49:12:58:E8:AF
21,3,986.9,1031,3067,21.63,1032.6267476682947,-54,37.5,2019-10-12T04:35:06.515417,E4:49:12:58:E8:AF
26,3,986.88,1030,3073,21.62,1031.7950377860905,-55,37.5,2019-10-12T04:40:06.914528,E4:49:12:58:E8:AF
20,3,986.89,1027,3061,21.62,1028.7200785442074,-56,37.5,2019-10-12T04:45:08.328394,E4:49:12:58:E8:AF
20,3,986.92,1029,3073,21.62,1030.610013535673,-54,37.5,2019-10-12T04:50:06.804329,E4:49:12:58:E8:AF
18,3,987.0,1029,3067,21.62,1030.6260233469752,-55,37.5,2019-10-12T04:55:06.262942,E4:49:12:58:E8:AF
25,3,987.07,1028,3067,21.62,1029.6688788149324,-53,37.5,2019-10-12T05:00:06.829299,E4:49:12:58:E8:AF
20,3,987.14,1029,3073,21.62,1031.0004849659383,-61,37.5,2019-10-12T05:05:06.328909,E4:49:12:58:E8:AF
22,3,987.19,1025,3061,21.62,1026.9323249367505,-59,37.5,2019-10-12T05:10:07.699703,E4:49:12:58:E8:AF
19,3,987.25,1028,3073,21.61,1029.7543396364008,-57,37.5,2019-10-12T05:15:07.119033,E4:49:12:58:E8:AF
21,3,987.32,1027,3073,21.61,1028.7949261150154,-57,37.5,2019-10-12T05:20:07.561102,E4:49:12:58:E8:AF
20,3,987.38,1028,3073,21.61,1029.6645084686565,-55,37.5,2019-10-12T05:25:07.031306,E4:49:12:58:E8:AF
21,3,987.43,1026,3067,21.61,1027.8526158939326,-58,37.5,2019-10-12T05:30:06.480238,E4:49:12:58:E8:AF
